Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7
mbrainz_175,Polyrhythmic Electronica,Benge,1996-08,United Kingdom of Great Britain and Northern Ireland,"['[untitled]', '[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_176,Armed and Dangerous,"Richardson, Murray",2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['Armed', 'Dangerous']",
mbrainz_177,Every Day (album),Cyclop,1999-01-01,Belgium,"['Every Day', 'Alturned']",
mbrainz_179,Song for Shelter / Ya Mama,Fatboy Slim,2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['Song for Shelter (Chemical Brothers mix)', 'Ya Mama', 'Song for Shelter (a cappella)', 'Song for Shelter (original mix)', 'Song for Shelter (20/20 Vision Rollinâ€™ mix)']",
mbrainz_180,Ya Mama / Song for Shelter,Fatboy Slim,2001-09-03,United Kingdom of Great Britain and Northern Ireland,"['Song for Shelter (Chemical Brothers remix)', ""Song for Shelter (The 20:20 Vision Rollin' remix)"", 'Ya Mama (radio edit)']",
mbrainz_188,Le Surboomer,Grand Tourism (and others),2001-06,United States of America,"['Jim Clark Theorem', ""Les courants d'air"", 'Snakeplayer', 'Bassmajazz', 'Hybrid Story', 'Variations Sur Emma Peel', 'Sweet Sitar Street', 'Act of Love', 'Le Surboomer', 'Romantic Hold Up', 'La Baie Du Fakir', 'Vega Music', 'La guitare enchantÃ©e']",
mbrainz_192,Sweet Shelter EP,Beroshima,1999-01-01,Germany,"['The Movemaker', 'Sweet Shelter', 'Watch the Moving Bodies', 'Stringmachine', 'Monday Loop', 'SO36 Loop', 'The Move']",
mbrainz_193,Echoes Beyond Tomorrow,Transparent Sound,2001-11-09,United Kingdom of Great Britain and Northern Ireland,"['Never Fall Again (original)', 'Never Fall Again (Scape One remix)', 'Never Fall Again (Subfunk remix)']",
mbrainz_194,Jet / Shelter,"KÃ¶hncke, Justus",2001-12-11,Germany,"['Jet', 'Shelter', 'Jet (M. Mayer mix)']",
mbrainz_195,Phat Lab. Nightmare,Wagon Christ,1994-07,United Kingdom of Great Britain and Northern Ireland,"['Mahadelic', 'Glass World', 'Phat Lab. Nightmare', 'Aerhaart; From Within', 'Aerhaart; Ahead', 'Aerhaart; Barrier', 'Panorak', 'Dances With Francis']",
mbrainz_196,Get Ready!,2 Unlimited,1992-04-25,Japan,"['Get Ready for This', 'Twilight Zone (7â€³ vocal)', 'The Magic Friend', 'Contrast', 'Rougher Than the Average', 'Workaholic', 'Delight', 'Get Ready for This (Rio & Le Jean remix) (instrumental)', 'Twilight Zone (instrumental)', 'The Magic Friend (instrumental)', 'Rougher Than the Average (instrumental)', 'Workaholic (instrumental)', 'Delight (instrumental)', 'Desire', 'Eternally Yours']",
mbrainz_199,Fuzzy Logic,Super Furry Animals,1996-10-08,United States of America,"['God! Show Me Magic', 'Fuzzy Birds', 'Something 4 the Weekend', 'Frisbee', 'Hometown Unicorn', 'Gathering Moss', ""If You Don't Want Me to Destroy You"", 'Bad Behaviour', 'Mario Man', ""Hangin' with Howard Marks"", 'Long Gone', 'For Now and Ever']",
mbrainz_201,In the Music,Deep Swing,2001-01-01,United States of America,"['In the Music (original mix)', 'In the Music (a cappella)', 'In the Music (Sunswing mix)', 'In the Music (original Sax mix)']",
mbrainz_204,Portrait of a Dead Girl II: The Conclusion,I-F feat.,1997-01-01,Germany,"['The Search', 'Torment', 'The Man With the Stick', 'Endtheme']",
mbrainz_206,There Are No Right Angles Found in Nature,Eighty Mile Beach (and others),1998-01-01,United States of America,"['There Are No Right Angles Found in Nature', 'There Are No Right Angles Found in Nature (Soulstice remix)', 'There Are No Right Angles Found in Nature (Thievery Corporation remix)', 'What We Did Last Summer']",
mbrainz_208,Electronic Dub,Electronic Dub,1994-01-01,United Kingdom of Great Britain and Northern Ireland,"['Electronic Dub 1', 'Electronic Dub 2', 'Electronic Dub 3', 'Electronic Dub 4', 'Electronic Dub 5', 'Electronic Dub 6']",
mbrainz_209,Get Into the Music,DJ's Rule,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Get Into the Music (Goodfellos radio edit)', 'Get Into the Music (Goodfellos remix)', 'Get Into the Music (Hybrid mix)', 'Get Into the Music (1990 Serious mix)', 'Get Into the Music (Cyber mix)']",
mbrainz_210,The Future Ain't The Same As It Used 2 b,Neon Phusion,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Intro', 'Destination', 'How Times Fly', 'Blue Terra', 'Hot Ice', 'Interlude', 'Space Jam', 'Electric Lady', 'Timecode', 'Kula Maku', ""The Future Ain't The Same As It Used 2 b"", ""Seji's Jam""]",
mbrainz_211,Present Tense EP,"Zinc, DJ",2002-02-04,United Kingdom of Great Britain and Northern Ireland,"['Casino Royale (remix)', 'Ska', 'Attitude Sickness', 'Invisible Ink']",0.0 minutes
mbrainz_212,Tempesta II,Statik Sound System,1997-09,United States of America,"['Free to Choose, Hard to Be', 'Living in Essential Times', 'Jack', 'Essential Times', 'Sonar', 'Amazed by You', 'Dr Wheeler', 'Valentine', 'Dreams of Mine', 'Hear My Plea', 'Seven Shades', '[untitled]']",
mbrainz_215,Learning to Be a Machine,"Mulero, Oscar",2002-01,Spain,"['Beyond Pit Lane', 'The Re-Fueler', 'Robert Pain']",
mbrainz_219,Trouble Shooter,Bandulu,1996-01-01,United Kingdom of Great Britain and Northern Ireland,"['Trouble Shooter', 'Trinity ""Version""', 'Jester']",
mbrainz_221,Bang Bang You're Mine,Bang the Party,1989-01-01,United Kingdom of Great Britain and Northern Ireland,"[""Bang Bang You're Mine (Rock Me Gently) (original/radio)"", ""Bang Bang You're Mine (instrumental)"", ""Bang Bang You're Mine (Full vocal remix)"", ""Bang Bang You're Mine (Kid's Bumpin dub)""]",
mbrainz_222,Dangerous,Dub Taylor,2002-01-01,Germany,"['Dangerous', 'Traffic']",
mbrainz_227,Sounds Like Trouble EP,HÃ¶sh!,2001-01-01,France,"['Sacred Souls', 'Miniatures', 'Foundations', 'Compelled']",
mbrainz_229,Hard Normal Daddy,Squarepusher,1997-04-28,United Kingdom of Great Britain and Northern Ireland,"['Coopers World', 'Beep Street', 'Rustic Raver', 'Anirog D9', 'Chin Hippy', 'Papalon', 'E8 Boogie', 'Fat Controller', 'Vic Acid', 'Male Pill Part 13', 'Rat/Pâ€™s and Qâ€™s', 'Rebus']",
mbrainz_231,Bricolage,"Tobin, Amon",1997-06,United Kingdom of Great Britain and Northern Ireland,"['Easy Muffin', 'Yasawas', 'Dream Sequence', 'New York Editor', 'Defocus', 'The Nasty', 'Bitter & Twisted', 'Mission', 'Wires & Snakes', 'Creatures', 'Stoney Street', 'One Small Step', 'One Day in My Garden']",35.72 minutes
mbrainz_233,The Music in My Mind,"Monolith, The",2002-02-11,United Kingdom of Great Britain and Northern Ireland,"['Carpenta', 'I-Yaz', 'Nextphaze', 'Nextphaze (Splinterfaction mix)']",
mbrainz_234,Spiritualized,Bravemusic,2002-01-01,United Kingdom of Great Britain and Northern Ireland,"['Spiritualized (vocal mix)', ""Spiritualized (Mark Wheawill's 'Eat Your Heart Out Baby dub')""]",
mbrainz_235,Sonix / Gemini,Aquasky,1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Sonix', 'Gemini']",
mbrainz_236,Pocket Monster Remixes,Multipara,2000-05,Germany,"['Pocket Monster Buy!Buy!Buy (remix)', 'Deep Pocket, Cute Monster', 'Monster Out of the Pocket Amx', 'Pocket Monster', '4-Framecomicstripmix', 'Pocket Monster (Extra Life)', 'Pocket Monster 2000 (feat. Blaxista)', 'Tilt! Tilt! Tilt! M:X']",
mbrainz_237,Happiness,Sound De-Zign,2001-01-01,Germany,"['Happiness (original mix)', 'Happiness (Grant Nelson remix)', 'Happiness (Tall Paul remix)', 'Happiness (Coast to Coast remix)']",
mbrainz_239,Riot Frequencies,Somatic Responses,1995-01-01,Germany,"['Synthaseizure', 'Structural Damage', 'Pain City', 'Alien Code 0010', 'Cyborg Sex', ""Fury's Theme"", ""Don't Fuck With an S.R."", 'Virtual Earth', 'Phlegaton C2', 'Flesheaters', 'Track 221294']",
mbrainz_241,Electronic Noise EP,Relic,2001-01-01,Germany,"['[untitled]', '[untitled]', '[untitled]', '[untitled]']",
mbrainz_242,Placebo Effect,Luygi Van,2001-01-01,Sweden,"['Plaect', 'Luup', 'Luup', 'Effebo', 'Feclac']",
mbrainz_243,Sweet Pink Lemonade,Khan,1994-01-01,Germany,"['Sweet Pink Lemonade, Part I', 'Sweet Pink Lemonade, Part II', '[untitled]']",
mbrainz_244,The Ambush / Fearless Calypso,Twintone,2000-01-01,Germany,"['The Ambush', 'Fearless Calypso']",
mbrainz_246,Dangerous Liasons,"Richards, Nigel",1997-01-01,United States of America,"[""Why'd Ya Do It?"", 'The Missionary', 'Snakestyle']",
mbrainz_247,Slave of the Empire EP,"Wishmaster, The",2001-01-01,Italy,"[""Now Please Don't Panic"", 'Slave of the Empire', 'Take a Little Time']",
mbrainz_248,Inside the Outside,Trans-Dimensional Voice,2000-01-01,United States of America,"['Temptation', 'Frustration', 'Restoration', 'Reincarnation, Part I', 'Reincarnation, Part II', 'Infinitely Frayed Boundary', 'Audible Vision']",
mbrainz_249,In Deep Trouble / One Consciousness,"Energy, Kevin",2001-01-01,United Kingdom of Great Britain and Northern Ireland,"['In Deep Trouble (Trance mix)', 'One Consciousness (Slow mix)']",
mbrainz_250,Diamond Eyes,"Kaos, DJ",2000-01-01,United Kingdom of Great Britain and Northern Ireland,Diamond Eyes,
mbrainz_251,Electronic World,"Stoll, Steve",1994-01-01,Germany,"['Drive Over', 'Liquid', 'Electronic World', 'Transposer', 'Waveform']",0.0 minutes
mbrainz_252,From Beyond Infinity,Danny Breaks,2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['Invader, Part 1', 'Invader, Part 2', 'Devil Girl From Mars', 'Earthshaker', 'Milkshaker', 'Mars to Jupiter', 'Space Maidens', 'From Beyond Infinity']",0.0 minutes
mbrainz_253,Electronic Tax Return,Pimmon,2001-01-26,United States of America,"['Yemdatem', 'Beach Party', 'Vovul Lj', 'Smiggins Whole / Loss', 'Ditoko', 'Slow Burn Friends / Dub Aquanauts', 'Arc of Crown and Feather', 'Pulsebuzzkid']",
mbrainz_254,Oporto Deep Cuts,OLN,1995-01-01,United Kingdom of Great Britain and Northern Ireland,"['Reboot 144 (Acid Error mix)', 'Reboot 144 (original mix)', 'Places of Pleasure (Sound System)', 'Places of Pleasure (original mix)']",
mbrainz_255,Diversification EP,Mooz,2002-01-01,Switzerland,"['Pariah', 'Some of That', 'The Voice Inside', 'Relax']",
mbrainz_256,Spiritual Interface (orig.),Set Up System,1991-01-01,Belgium,"['Spiritual Interface', 'Factory (Parallax mix)', 'Gyrate', 'Factory (Sublimation mix)']",
mbrainz_260,The Elevator / Odyssey,"Sorcerer, The",1992-01-01,United Kingdom of Great Britain and Northern Ireland,"['The Elevator (Up & Down mix)', 'Odyssey']",
mbrainz_261,The Warning / The Final Frontier,Logic,1990-01-01,United States of America,"['The Warning (Inner mix)', 'The Warning (2 Copy mix)', 'The Warning (a cappella)', 'The Final Frontier (acoustic mix)', 'The Final Frontier (The Groove)']",
mbrainz_262,Fu*k The Millennium EP,"Ganja Kru, The",1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['Move On', 'Science', 'Forbidden Fruit', 'Noise', 'Politrix', 'Species', 'Ghetto Brother', 'Pink Panther (Runaways remix)']",
mbrainz_263,Bad Blood EP,Magas,2002-04-09,United States of America,"['Toys', 'Walkie Talkie', 'Lovecompressor', 'Feel the Face']",
mbrainz_264,Electronic Funk EP,Future Prophecies,2002-01-01,United Kingdom of Great Britain and Northern Ireland,"['Electronic Funk', 'Trolls and Fairytales', 'Lubak', 'Purple Smoke']",14.38 minutes
mbrainz_268,Primitive Arts (orig.),"Trent, Ron",1999-11-22,United Kingdom of Great Britain and Northern Ireland,"['Love', 'Family', 'Sometimes I Feel Like', 'I Feel the Rhythm', 'Time', 'Woman', 'Morning Factory']",
mbrainz_275,I Am the Very Model of a Modern Mutant Replicant (orig.),James Din A4,2001-01-01,Germany,"['Biff', '21.12.2013', 'Ricky Kelly King', 'Knust', 'Falco', 'Surface Crackle', 'Modern Mutant Replicant', 'Flaming Creature']",
mbrainz_278,Crisis,"Fairley, Jake",2002-05-06,Germany,"['Exploder', 'Work', 'Ebos', 'Over the Edge', 'Street Duck', 'Dance Floor Suicide', 'Yugo', 'The Commuter', 'Mad Foxes', 'D-Days', 'Oshawa', 'In Stitches', 'Intersteer']",
mbrainz_279,Chrome,Etnica,2002-01-30,Japan,"['Alpha-Beta', 'Solaris', '1056', 'Black Lava', 'Tracktor Activity', 'The Object (live mix)', 'Liquid Forms', 'Are We Safe?', 'Blasting!']",
mbrainz_280,Raver's Damnation,"Santana, Omar",1999-01-01,United States of America,"[""Raver's Damnation (Original)"", ""Raver's Damnation (Cirrus' Damn Remix)"", ""Raver's Damnation (Micro's Acid Flashback)"", ""Raver's Damnation (Deepsky Remix)""]",
mbrainz_283,Escape From Nowhere EP,"Lig, Fabrice",2001-01-01,United States of America,"['Escape From Nowhere', 'Miss-Tic', 'Square or Elypsia', 'Back to Dcb']",
mbrainz_284,Let the Music Play,Shannon,1989-01-01,Germany,"['Let the Music Play (1989 European remixed version)', 'Let the Music Play (remixed radio shot)', 'Let the Music Play (classic version)']",
mbrainz_287,Life Support / Cerulean Seas,Future Engineers,1998-05-05,United Kingdom of Great Britain and Northern Ireland,"['Life Support', 'Cerulean Seas']",
mbrainz_288,Beyond Beyond,Minus 8,1998-01-01,United Kingdom of Great Britain and Northern Ireland,"['Zero G', 'The Tempest', 'Surpass the Power', 'Faye Done Away', ""A Midsummernight's Dream"", 'Airbourne', 'Carnival of Souls', 'Recently at the Opera', 'D.R.L.S.', 'A Touch of Evil', 'In the Spirit of Vampiros Lesbos', ""Cruisin'"", 'In the Spirit of Vampiros Lesbos (DJ Cam remix)', 'In Cold Blood', 'Outro']",
mbrainz_292,The Analogue Theatre,"Bolland, CJ",1997-01-01,United States of America,"['Obsidion', 'Pesticide', 'The Analogue Theatre', 'On Line', 'The Prophet', 'People of the Universe', 'There Can Be Only One', 'Kung Kung Ka', 'Counterpoint', 'Sugar Is Sweeter (original mix)', 'Electro Power (355 Turbo Power mix)', ""Sugar Is Sweeter (Armand van Helden's Drum & Bass mix album edit)""]",
mbrainz_295,Outside,Omar,1994-01-01,Germany,"['Outside (Opaz radio edit)', ""Saturday (Frankie Foncett's Gangster club Ride)"", ""Saturday (Frankie Foncett's club, Part 1)"", 'Saturday (The Absolute remix)']",
mbrainz_296,The Savage and Beyond,Tronikhouse,1991-01-01,Belgium,"['The Savage and Beyond (Savage Reese mix)', 'The Savage and Beyond (African Beast mix)', 'Multifunction (Multi-mix)', 'Smooth Groove (The Smooth mix)']",
mbrainz_297,Trouble With Boys,Loreta,2000-01-01,Germany,"[""Trouble With Boys (Junior's club mix)"", ""Trouble With Boys (Junior's dub)"", 'Trouble With Boys (Loreta Is High, Part 1)', 'Trouble With Boys (Davidson Ospina dub)']",
mbrainz_298,Fair Warning,Locutus,2001-01-01,Germany,"['Fair Warning', 'Close Proximity', 'Full Moon', 'Weeping Darkness']",
mbrainz_299,The Dance,"Anderson, Jamie",1999-01-01,United Kingdom of Great Britain and Northern Ireland,"['The Dance', 'The Dance (edit)', 'The Dance (Artform dub)', 'The Dance (bonus breaks)']",
mbrainz_300,King Kong of the Dance Floor,Fu-Tourist,2001-01-01,Finland,"['King Kong of the Dance Floor', 'King Kong of the Dance Floor (Sugar Vision remix)']",
mbrainz_301,Have We Lost Our Love,"Ellington, Lance",1993-01-01,United States of America,"['Have We Lost Our Love (extended UK remix)', 'Have We Lost Our Love (extended US Reconstruction)', 'Have We Lost Our Love (Muchacho remix)', 'Have We Lost Our Love (Muchacho dub)', 'Have We Lost Our Love (Deep dub)']",
mbrainz_302,Feel the Spirit,Harlem Sunshine,2002-01-01,United States of America,"['Feel the Spirit (main vocal)', 'Feel the Spirit (dub mix)']",
mbrainz_304,Can We Change The Future Remixes,Code of Practice,1995-01-01,United Kingdom of Great Britain and Northern Ireland,"['Can We Change the Future (Sounds of Life remix)', 'Can We Change the Future (Klute remix)']",
mbrainz_305,Obscura,Out of Grace,2001-01-01,Belgium,"['Obscura (Delivery 01)', 'Obscura (Delivery 02)']",
mbrainz_306,15 Electronic Pieces,"Adler, Gunter",1999-01-01,Germany,"['Brussels', 'Goteborg', 'Hungary', 'Madras (Less Restless)', 'Antwerp (May I Take One Close to Yours?)', 'Cancun', 'Newcastle (Johnny Vaughn Tanzparty)', 'Madurai (Dark Sunglasses)', 'Zurich', 'Lyon (Contre-Jour Shot)', 'Rome', 'Helsinki', 'Dusseldorf', 'Seattle (Through the Scenes)', 'LiÃ¨ge (Samarinda)']",
mbrainz_307,Bass Time Continuum,Bass Junkie,,,"['Bass Time Continuum', 'R-M-T-S', 'Bass Below & Beyond', 'Listen to the Beat (V2.0)', 'A New Order of Intelligence', 'Breakers Throwdown (Final Battle mix)', 'Welcome to Futura', 'Hyper-Bass', 'Back in the Jungle', 'Return of the OVC', 'Bass Mutant (Re-Mutated)', 'A Bass Odyssey', 'Sound and Motion']",
mbrainz_312,Nine Lives,"Underwolves, The",1996-07-15,United Kingdom of Great Britain and Northern Ireland,"['Nine Lives (version Wildlife)', 'Nine Lives (version My Life)']",
mbrainz_313,Don't Stop the Music (release),Sonic Dragolgo,2002-01-01,Germany,"['Guitar', 'Beatnix', 'Action', 'Elec-Love', 'Emergency Code', 'Sister', ""Don't Stop the Music"", 'Dip Switch', 'Deep Angel', 'Good Morning', 'Early Bird', 'Angela']",
mbrainz_315,Hears to the Future,Justice,2000-01-01,United Kingdom of Great Britain and Northern Ireland,"['Two Thousand Moments (feat. Miles Copeland)', ""Wack MC's (feat. Danoyd)"", 'Cycle II', 'Beat Drop', 'Faith + Reason', 'Monk Rock (feat. Miles Copeland)', 'Suburbs', ""Wack MC's (instrumental)""]",
mbrainz_317,Beyond Digits,Current Value,2002-08-02,Germany,"['H-Theme', ""Droppin'"", 'Disruptor', 'Digital Realm', 'Panic', 'Q-Type', 'Facility', 'Fractal', 'Dynamo', 'Danish Treat']",
mbrainz_318,Face the Future,Richi M,2002-06-24,Sweden,"['Ancient Sumeria', 'Face the Future', 'Get Kinky', 'Inside of Me (radio version)', 'Live in a Dream', 'Progressive', ""Lily's Back"", 'Aramandori', 'El Ritmo', 'United Colours', 'Inside of Me 1.0', 'Inside of Me 2.0', 'Sons of Heaven']",
mbrainz_323,Simple Things,Zero 7,2001-09-05,Japan,"['I Have Seen', 'Polaris', 'Destiny', 'Give It Away', 'Simple Things', 'Red Dust', 'Distractions', 'In the Waiting Line', 'Out of Town', 'This World', 'Likufanele', 'End Theme', 'Salt Water Sound', 'Spinning', 'Monday Night']",
mbrainz_325,Contradictions,"Leer, Thomas",1982-01-01,United Kingdom of Great Britain and Northern Ireland,"['Hear What I Say', 'Mr. Nobody', 'Contradictions', 'Looks That Kill', 'Soul Gypsy', 'Choices', 'Gulf Stream']",22.07 minutes
mbrainz_329,Future Platform (Disc 2) (album),M.I.K.E.,2001-01-01,Belgium,"['Groove Point', 'Deepest Jungle (re-mastered)']",
mbrainz_330,The Virgin Suicides,Air,2000-02-25,,"['Playground Love', 'Clouds Up', 'Bathroom Girl', 'Cemetary Party', 'Dark Messages', 'The Word â€˜Hurricaneâ€™', 'Dirty Trip', 'Highschool Lover (Theme From The Virgin Suicides)', 'Afternoon Sister', 'Ghost Song', 'Empty House', 'Dead Bodies', 'Suicide Underground']",
mbrainz_334,Stranger Than Fiction,"LeBlanc, Keith (and others)",1989-01-01,United States of America,"['But Whitey', 'Einstein', 'Taxcider', ""Here's Looking at You"", 'Steps', 'Count This', 'Whatever', 'Men in Capsules', 'Dream World', 'These Sounds', 'Mechanical Movements', 'Comedy of Errors']",
